(1.0, 519.09, 520.09)
(1.01, 519.09, 520.1)
(1.01, 519.09, 520.1)
(1.0, 519.09, 520.09)
(1.18, 519.09, 520.27)
(1.0, 519.09, 520.09)
(1.01, 519.09, 520.1)
(1.01, 519.09, 520.1)
(1.02, 519.09, 520.11)
(1.02, 519.09, 520.11)
(1.01, 519.09, 520.1)
(1.02, 519.09, 520.11)
(1.02, 519.09, 520.11)
(1.15, 519.09, 520.24)
(1.17, 519.09, 520.26)
(1.16, 519.09, 520.25)
(1.16, 519.09, 520.25)
(1.12, 519.09, 520.21)
(1.01, 519.09, 520.1)
(1.05, 519.09, 520.14)
(1.07, 519.09, 520.1600000000001)
(1.21, 519.09, 520.3000000000001)
(0.99, 519.09, 520.08)
(1.05, 519.09, 520.14)
(1.03, 519.09, 520.12)
(0.97, 519.09, 520.0600000000001)
(0.9, 519.09, 519.99)
(0.87, 519.09, 519.96)
(0.85, 519.09, 519.94)
(0.91, 519.09, 520.0)
(0.92, 519.09, 520.01)
(0.9, 519.09, 519.99)
(0.9, 519.09, 519.99)
(0.93, 519.09, 520.02)
(0.93, 519.09, 520.02)
(0.93, 519.09, 520.02)
(0.9, 519.09, 519.99)
(0.89, 519.09, 519.98)
(0.89, 519.09, 519.98)
(0.87, 519.09, 519.96)
(0.85, 519.09, 519.94)
(0.86, 519.09, 519.95)
(0.86, 519.09, 519.95)
(0.8, 519.09, 519.89)
(0.84, 519.09, 519.9300000000001)
(0.85, 519.09, 519.94)
(0.92, 519.09, 520.01)
(1.01, 519.09, 520.1)
(0.96, 519.09, 520.0500000000001)
(1.1, 519.09, 520.19)
(1.13, 519.09, 520.22)
(1.1400000000000001, 519.09, 520.23)
(1.18, 519.09, 520.27)
(1.13, 519.09, 520.22)
(1.1400000000000001, 519.09, 520.23)
(1.12, 519.09, 520.21)
(1.11, 519.09, 520.2)
(1.13, 519.09, 520.22)
(1.1, 519.09, 520.19)
(1.07, 519.09, 520.1600000000001)
(1.05, 519.09, 520.14)
(1.04, 519.09, 520.13)
(1.06, 519.09, 520.15)
(1.04, 519.09, 520.13)
(1.05, 519.09, 520.14)
(1.06, 519.09, 520.15)
(1.05, 519.09, 520.14)
(0.97, 519.09, 520.0600000000001)
(0.94, 519.09, 520.0300000000001)
(0.91, 519.09, 520.0)
(0.9, 519.09, 519.99)
(0.8, 519.09, 519.89)
(0.81, 519.09, 519.9)
(0.87, 519.09, 519.96)
(0.91, 519.09, 520.0)
(0.87, 519.09, 519.96)
(0.87, 519.09, 519.96)
(0.79, 519.09, 519.88)
(0.79, 519.09, 519.88)
(0.63, 519.09, 519.72)
(0.68, 519.09, 519.77)
(0.69, 519.09, 519.7800000000001)
(0.73, 519.09, 519.82)
(0.7, 519.09, 519.7900000000001)
(0.78, 519.09, 519.87)
(0.84, 519.09, 519.9300000000001)
(0.79, 519.09, 519.88)
(0.76, 519.09, 519.85)
(0.76, 519.09, 519.85)
(0.76, 519.09, 519.85)
(0.76, 519.09, 519.85)
(0.76, 519.09, 519.85)
(0.79, 519.09, 519.88)
(0.82, 519.09, 519.9100000000001)
(0.82, 519.09, 519.9100000000001)
(0.8, 519.09, 519.89)
(0.86, 519.09, 519.95)
(0.81, 519.09, 519.9)
(1.07, 519.09, 520.1600000000001)
(1.03, 519.09, 520.12)
(1.1, 519.09, 520.19)
(1.08, 519.09, 520.1700000000001)
(1.09, 519.09, 520.1800000000001)
(1.06, 519.09, 520.15)
(1.1400000000000001, 519.09, 520.23)
(1.17, 519.09, 520.26)
(1.12, 519.09, 520.21)
(1.15, 519.09, 520.24)
(1.18, 519.09, 520.27)
(1.18, 519.09, 520.27)
(1.16, 519.09, 520.25)
(1.13, 519.09, 520.22)
(1.13, 519.09, 520.22)
(1.09, 519.09, 520.1800000000001)
(1.13, 519.09, 520.22)
(0.99, 519.09, 520.08)
(1.21, 519.09, 520.3000000000001)
(1.28, 519.09, 520.37)
(1.27, 519.09, 520.36)
(1.29, 519.09, 520.38)
(1.27, 519.09, 520.36)
(1.27, 519.09, 520.36)
(1.27, 519.09, 520.36)
(1.28, 519.09, 520.37)
(1.3, 519.09, 520.39)
(1.3, 519.09, 520.39)
(1.3, 519.09, 520.39)
(1.27, 519.09, 520.36)
(1.26, 519.09, 520.35)
(1.09, 519.09, 520.1800000000001)
(1.12, 519.09, 520.21)
(1.03, 519.09, 520.12)
(0.93, 519.09, 520.02)
(0.93, 519.09, 520.02)
(0.95, 519.09, 520.0400000000001)
(1.01, 519.09, 520.1)
(1.01, 519.09, 520.1)
(0.98, 519.09, 520.07)
(0.94, 519.09, 520.0300000000001)
(0.82, 519.09, 519.9100000000001)
(0.74, 519.09, 519.83)
(0.65, 519.09, 519.74)
(0.64, 519.09, 519.73)
(0.67, 519.09, 519.76)
(0.53, 519.09, 519.62)
(0.71, 519.09, 519.8000000000001)
(0.67, 519.09, 519.76)
(0.62, 519.09, 519.71)
(0.43, 519.09, 519.52)
(0.51, 519.09, 519.6)
(0.56, 519.09, 519.65)
(0.63, 519.09, 519.72)
(0.57, 519.09, 519.6600000000001)
(0.61, 519.09, 519.7)
(0.62, 519.09, 519.71)
(0.62, 519.09, 519.71)
(0.66, 519.09, 519.75)
(0.72, 519.09, 519.8100000000001)
(0.78, 519.09, 519.87)
(0.77, 519.09, 519.86)
(0.9, 519.09, 519.99)
(0.99, 519.09, 520.08)
(0.93, 519.09, 520.02)
(0.72, 519.09, 519.8100000000001)
(0.72, 519.09, 519.8100000000001)
(0.7, 519.09, 519.7900000000001)
(0.71, 519.09, 519.8000000000001)
(0.71, 519.09, 519.8000000000001)
(0.71, 519.09, 519.8000000000001)
(0.71, 519.09, 519.8000000000001)
(0.71, 519.09, 519.8000000000001)
(0.71, 519.09, 519.8000000000001)
(0.63, 519.09, 519.72)
(0.65, 519.09, 519.74)
(0.58, 519.09, 519.6700000000001)
(0.52, 519.09, 519.61)
(0.45, 519.09, 519.5400000000001)
(0.45, 519.09, 519.5400000000001)
(0.36, 519.09, 519.45)
(0.32, 519.09, 519.4100000000001)
(0.31, 519.09, 519.4)
(0.28, 519.09, 519.37)
(0.14, 519.09, 519.23)
(0.21, 519.09, 519.3000000000001)
(0.23, 519.09, 519.32)
(0.16, 519.09, 519.25)
(-0.05, 519.09, 519.0400000000001)
(-0.12, 519.09, 518.97)
(-0.12, 519.09, 518.97)
(-0.13, 519.09, 518.96)
(-0.24, 519.09, 518.85)
(-0.26, 519.09, 518.83)
(-0.33, 519.09, 518.76)
(-0.23, 519.09, 518.86)
(-0.29, 519.09, 518.8000000000001)
(-0.38, 519.09, 518.71)
(-0.37, 519.09, 518.72)
(-0.29, 519.09, 518.8000000000001)
(-0.3, 519.09, 518.7900000000001)
(-0.3, 519.09, 518.7900000000001)
(-0.29, 519.09, 518.8000000000001)
(-0.21, 519.09, 518.88)
(-0.25, 519.09, 518.84)
(-0.25, 519.09, 518.84)
(-0.33, 519.09, 518.76)
(-0.27, 519.09, 518.82)
(-0.26, 519.09, 518.83)
(-0.27, 519.09, 518.82)
(-0.14, 519.09, 518.95)
(-0.23, 519.09, 518.86)
(-0.25, 519.09, 518.84)
(-0.17, 519.09, 518.9200000000001)
(-0.16, 519.09, 518.9300000000001)
(-0.21, 519.09, 518.88)
(-0.21, 519.09, 518.88)
(-0.21, 519.09, 518.88)
(-0.47, 519.09, 518.62)
(-0.55, 519.09, 518.5400000000001)
(-0.51, 519.09, 518.58)
(-0.35, 519.09, 518.74)
(-0.35, 519.09, 518.74)
(-0.33, 519.09, 518.76)
(-0.29, 519.09, 518.8000000000001)
(0.12, 519.09, 519.21)
(0.07, 519.09, 519.1600000000001)
(0.06, 519.09, 519.15)
(0.06, 519.09, 519.15)
(0.06, 519.09, 519.15)
(0.05, 519.09, 519.14)
(0.06, 519.09, 519.15)
(-0.02, 519.09, 519.07)
(-0.13, 519.09, 518.96)
(-0.02, 519.09, 519.07)
(0.03, 519.09, 519.12)
(0.0, 519.09, 519.09)
(-0.01, 519.09, 519.08)
(-0.11, 519.09, 518.98)
(-0.08, 519.09, 519.01)
(-0.11, 519.09, 518.98)
(-0.28, 519.09, 518.8100000000001)
(-0.27, 519.09, 518.82)
(-0.46, 519.09, 518.63)
(-0.46, 519.09, 518.63)
(-0.38, 519.09, 518.71)
(-0.36, 519.09, 518.73)
(-0.33, 519.09, 518.76)
(-0.34, 519.09, 518.75)
(-0.34, 519.09, 518.75)
(-0.32, 519.09, 518.77)
(-0.33, 519.09, 518.76)
(-0.33, 519.09, 518.76)
(-0.31, 519.09, 518.7800000000001)
(-0.18, 519.09, 518.9100000000001)
(-0.2, 519.09, 518.89)
(-0.22, 519.09, 518.87)
(-0.24, 519.09, 518.85)
(0.01, 519.09, 519.1)
(0.13, 519.09, 519.22)
(0.15, 519.09, 519.24)
(0.37, 519.09, 519.46)
(0.3, 519.09, 519.39)
(0.32, 519.09, 519.4100000000001)
(0.28, 519.09, 519.37)
(0.23, 519.09, 519.32)
(0.27, 519.09, 519.36)
(0.18, 519.09, 519.27)
(0.12, 519.09, 519.21)
(0.15, 519.09, 519.24)
(0.24, 519.09, 519.33)
(0.21, 519.09, 519.3000000000001)
(0.19, 519.09, 519.2800000000001)
(0.2, 519.09, 519.2900000000001)
(0.21, 519.09, 519.3000000000001)
(0.17, 519.09, 519.26)
(0.17, 519.09, 519.26)
(0.2, 519.09, 519.2900000000001)
(0.23, 519.09, 519.32)
(0.23, 519.09, 519.32)
(0.22, 519.09, 519.3100000000001)
(-0.17, 519.09, 518.9200000000001)
(-0.12, 519.09, 518.97)
(-0.09, 519.09, 519.0)
(0.03, 519.09, 519.12)
(0.03, 519.09, 519.12)
(-0.07, 519.09, 519.02)
(-0.05, 519.09, 519.0400000000001)
(-0.05, 519.09, 519.0400000000001)
(-0.04, 519.09, 519.0500000000001)
(-0.05, 519.09, 519.0400000000001)
(-0.06, 519.09, 519.0300000000001)
(-0.37, 519.09, 518.72)
(-0.41, 519.09, 518.6800000000001)
(-0.46, 519.09, 518.63)
(-0.43, 519.09, 518.6600000000001)
(-0.36, 519.09, 518.73)
(-0.37, 519.09, 518.72)
(-0.36, 519.09, 518.73)
(-0.38, 519.09, 518.71)
(-0.46, 519.09, 518.63)
(-0.6, 519.09, 518.49)
(-0.54, 519.09, 518.5500000000001)
(-0.44, 519.09, 518.65)
(-0.45, 519.09, 518.64)
(-0.45, 519.09, 518.64)
(-0.53, 519.09, 518.5600000000001)
(-0.56, 519.09, 518.5300000000001)
(-0.61, 519.09, 518.48)
(-0.54, 519.09, 518.5500000000001)
(-0.62, 519.09, 518.47)
(-0.62, 519.09, 518.47)
(-0.64, 519.09, 518.45)
(-0.65, 519.09, 518.44)
(-0.66, 519.09, 518.4300000000001)
(-0.67, 519.09, 518.4200000000001)
(-0.62, 519.09, 518.47)
(-0.2, 519.09, 518.89)
(-0.26, 519.09, 518.83)
(-0.24, 519.09, 518.85)
(-0.22, 519.09, 518.87)
(-0.27, 519.09, 518.82)
(-0.23, 519.09, 518.86)
(-0.25, 519.09, 518.84)
(-0.24, 519.09, 518.85)
(-0.23, 519.09, 518.86)
(-0.23, 519.09, 518.86)
(-0.2, 519.09, 518.89)
(-0.22, 519.09, 518.87)
(-0.2, 519.09, 518.89)
(-0.2, 519.09, 518.89)
(-0.19, 519.09, 518.9)
(-0.42, 519.09, 518.6700000000001)
(-0.32, 519.09, 518.77)
(-0.3, 519.09, 518.7900000000001)
(-0.33, 519.09, 518.76)
(-0.29, 519.09, 518.8000000000001)
(-0.25, 519.09, 518.84)
(-0.31, 519.09, 518.7800000000001)
(-0.33, 519.09, 518.76)
(-0.33, 519.09, 518.76)
(-0.34, 519.09, 518.75)
(-0.34, 519.09, 518.75)
(-0.33, 519.09, 518.76)
(-0.45, 519.09, 518.64)
(-0.42, 519.09, 518.6700000000001)
(-0.56, 519.09, 518.5300000000001)
(-0.69, 519.09, 518.4)
(-0.7, 519.09, 518.39)
(-0.67, 519.09, 518.4200000000001)
(-0.53, 519.09, 518.5600000000001)
(-0.52, 519.09, 518.57)
(-0.56, 519.09, 518.5300000000001)
(-0.52, 519.09, 518.57)
(-0.91, 519.09, 518.1800000000001)
(-0.88, 519.09, 518.21)
(-0.96, 519.09, 518.13)
(-1.0, 519.09, 518.09)
(-1.02, 519.09, 518.07)
(-1.26, 519.09, 517.83)
(-1.31, 519.09, 517.7800000000001)
(-1.33, 519.09, 517.76)
(-1.33, 519.09, 517.76)
(-1.37, 519.09, 517.72)
(-1.3900000000000001, 519.09, 517.7)
(-1.3, 519.09, 517.7900000000001)
(-1.35, 519.09, 517.74)
(-1.55, 519.09, 517.5400000000001)
(-1.46, 519.09, 517.63)
(-1.43, 519.09, 517.6600000000001)
(-1.52, 519.09, 517.57)
(-1.48, 519.09, 517.61)
(-1.5699999999999998, 519.09, 517.52)
(-1.5899999999999999, 519.09, 517.5)
(-1.71, 519.09, 517.38)
(-1.5899999999999999, 519.09, 517.5)
(-1.6, 519.09, 517.49)
(-1.67, 519.09, 517.4200000000001)
(-2.0, 519.09, 517.09)
(-2.0, 519.09, 517.09)
(-1.79, 519.09, 517.3000000000001)
(-1.6, 519.09, 517.49)
(-1.58, 519.09, 517.51)
(-1.58, 519.09, 517.51)
(-1.65, 519.09, 517.44)
(-1.6, 519.09, 517.49)
(-1.62, 519.09, 517.47)
(-1.63, 519.09, 517.46)
(-1.67, 519.09, 517.4200000000001)
(-1.6400000000000001, 519.09, 517.45)
(-1.6400000000000001, 519.09, 517.45)
(-1.78, 519.09, 517.3100000000001)
(-1.69, 519.09, 517.4)
(-1.5699999999999998, 519.09, 517.52)
(-1.52, 519.09, 517.57)
(-1.44, 519.09, 517.65)
(-1.51, 519.09, 517.58)
(-1.44, 519.09, 517.65)
(-1.44, 519.09, 517.65)
(-1.45, 519.09, 517.64)
(-1.46, 519.09, 517.63)
(-1.49, 519.09, 517.6)
(-1.44, 519.09, 517.65)
(-1.48, 519.09, 517.61)
(-1.51, 519.09, 517.58)
(-1.28, 519.09, 517.8100000000001)
(-1.16, 519.09, 517.9300000000001)
(-1.56, 519.09, 517.5300000000001)
(-1.5899999999999999, 519.09, 517.5)
(-1.62, 519.09, 517.47)
(-1.5899999999999999, 519.09, 517.5)
(-1.7, 519.09, 517.39)
(-1.76, 519.09, 517.33)
(-1.77, 519.09, 517.32)
(-1.73, 519.09, 517.36)
(-1.94, 519.09, 517.15)
(-2.08, 519.09, 517.01)
(-2.03, 519.09, 517.0600000000001)
(-2.02, 519.09, 517.07)
(-2.06, 519.09, 517.0300000000001)
(-2.04, 519.09, 517.0500000000001)
(-2.05, 519.09, 517.0400000000001)
(-2.05, 519.09, 517.0400000000001)
(-2.05, 519.09, 517.0400000000001)
(-2.09, 519.09, 517.0)
(-2.05, 519.09, 517.0400000000001)
(-2.05, 519.09, 517.0400000000001)
(-2.08, 519.09, 517.01)
(-2.05, 519.09, 517.0400000000001)
(-2.14, 519.09, 516.95)
(-2.26, 519.09, 516.83)
(-2.41, 519.09, 516.6800000000001)
(-2.36, 519.09, 516.73)
(-2.33, 519.09, 516.76)
(-2.2800000000000002, 519.09, 516.8100000000001)
(-2.26, 519.09, 516.83)
(-2.27, 519.09, 516.82)
(-2.33, 519.09, 516.76)
(-2.5, 519.09, 516.59)
(-2.5300000000000002, 519.09, 516.5600000000001)
(-2.68, 519.09, 516.4100000000001)
(-2.65, 519.09, 516.44)
(-2.59, 519.09, 516.5)
(-2.45, 519.09, 516.64)
(-2.44, 519.09, 516.65)
(-2.46, 519.09, 516.63)
(-2.51, 519.09, 516.58)
(-2.5300000000000002, 519.09, 516.5600000000001)
(-2.8, 519.09, 516.2900000000001)
(-2.67, 519.09, 516.4200000000001)
(-2.69, 519.09, 516.4)
(-2.73, 519.09, 516.36)
(-2.95, 519.09, 516.14)
(-3.02, 519.09, 516.07)
(-2.99, 519.09, 516.1)
(-2.86, 519.09, 516.23)
(-2.92, 519.09, 516.1700000000001)
(-2.81, 519.09, 516.2800000000001)
(-2.8, 519.09, 516.2900000000001)
(-2.85, 519.09, 516.24)
(-2.55, 519.09, 516.5400000000001)
(-2.52, 519.09, 516.57)
(-2.49, 519.09, 516.6)
(-2.49, 519.09, 516.6)
(-2.52, 519.09, 516.57)
(-2.66, 519.09, 516.4300000000001)
(-2.33, 519.09, 516.76)
(-1.8900000000000001, 519.09, 517.2)
(-1.9300000000000002, 519.09, 517.1600000000001)
(-1.48, 519.09, 517.61)
(-1.65, 519.09, 517.44)
(-1.67, 519.09, 517.4200000000001)
(-1.6099999999999999, 519.09, 517.48)
(-1.49, 519.09, 517.6)
(-1.48, 519.09, 517.61)
(-1.5, 519.09, 517.59)
(-1.5, 519.09, 517.59)
(-1.5899999999999999, 519.09, 517.5)
(-1.52, 519.09, 517.57)
(-1.54, 519.09, 517.5500000000001)
(-1.5899999999999999, 519.09, 517.5)
(-1.37, 519.09, 517.72)
(-1.47, 519.09, 517.62)
(-1.56, 519.09, 517.5300000000001)
(-1.71, 519.09, 517.38)
(-2.1, 519.09, 516.99)
(-2.11, 519.09, 516.98)
(-2.13, 519.09, 516.96)
(-2.08, 519.09, 517.01)
(-2.0, 519.09, 517.09)
(-2.36, 519.09, 516.73)
(-2.57, 519.09, 516.52)
(-2.49, 519.09, 516.6)
(-2.43, 519.09, 516.6600000000001)
(-2.05, 519.09, 517.0400000000001)
(-1.74, 519.09, 517.35)
(-1.79, 519.09, 517.3000000000001)
(-1.74, 519.09, 517.35)
(-1.7, 519.09, 517.39)
(-1.78, 519.09, 517.3100000000001)
